MN,118.69.185.253,QNM-MP-01-01
MN,118.69.185.254,QNM-MP-01-02
MN,118.69.185.246,QTI-MP-01-01
MN,118.69.185.247,QTI-MP-01-02
MN,118.69.185.1,STG-MP-01-01
MN,118.69.185.2,STG-MP-01-02
MB,118.70.0.248,STY-MP-01-01
MB,118.70.0.249,STY-MP-01-02
MN,118.69.185.227,TGG-MP-01-01
MN,118.69.185.228,TGG-MP-01-02
MN,118.70.0.20,THA-MP-01-01
MN,118.70.0.21,THA-MP-01-02
MN,118.70.0.22,THA-MP-01-03
MN,118.70.0.23,THA-MP-01-04
MN,118.69.255.102,TNH-MP-01-01
MN,118.69.255.103,TNH-MP-01-02
MB,118.70.0.64,TNN-MP-01-01
MB,118.70.0.157,TNN-MP-01-02
MB,118.70.0.65,TNN-MP-01-03
MB,118.70.0.66,TNN-MP-01-04
MB,118.70.0.221,TQG-MP-01-01
MB,118.70.0.222,TQG-MP-01-02
MN,118.69.185.29,TVH-MP-01-01
MN,118.69.185.30,TVH-MP-01-02
MN,118.69.255.69,VLG-MP-01-01
MN,118.69.255.70,VLG-MP-01-02
MB,118.70.0.2,VPC-MP-01-01
MB,118.70.0.3,VPC-MP-01-02
MN,118.69.185.165,VTU-MP-01-01
MN,118.69.185.166,VTU-MP-01-02
MB,118.70.232.253,YBI-MP-01-01
MB,118.70.0.85,YBI-MP-01-02
