Region,Ip,Hostname_Noc,Hostname_Radius,Hostname_Kibana
MB,118.70.0.14,HNI-MP-05-01,HN-MP05-1,HN-MP05-1
MB,118.70.0.15,HNI-MP-05-02,HN-MP05-2,HN-MP05-2
MB,118.70.0.97,HNI-MP-Backup-01,HN-MP02-4,HN-MP02-4
MB,118.70.0.202,HNI-MP-Backup-02,HN-MP02-3,HN-MP02-3
MB,118.70.0.28,HPG-MP-01-01,HP-MP01-NEW,HPG-MP01-1
MB,118.70.0.29,HPG-MP-01-02,HP-MP02-NEW,HPG-MP01-2
MB,118.70.0.102,HTH-MP-01-01,HTH-MP01,HTH-MP01-1
MB,118.70.0.103,HTH-MP-01-02,HTH-MP02,HTH-MP01-2
MN,118.69.185.198,HUE-MP-01-01,HUE-MP01-1-NEW,HUE-MP01-1-NEW
MN,118.69.185.199,HUE-MP-01-02,HUE-MP01-2-NEW,HUE-MP01-2-NEW
MB,118.70.0.67,HYN-MP-01-01,HYN-MP01,HYN-MP01
MB,118.70.0.68,HYN-MP-01-02,HYN-MP02,HYN-MP02
MB,118.70.0.110,HYN-MP-01-03,HYN-MP01-3,HYN-MP01-3
MB,118.70.0.111,HYN-MP-01-04,HYN-MP01-4,HYN-MP01-4
MN,118.69.185.7,KGG-MP-01-01,KGG-MP01-1,KGG-MP01-1
MN,118.69.185.8,KGG-MP-01-02,KGG-MP01-2,KGG-MP01-2
MN,118.69.255.200,KGG-MP01-3,KGG-MP01-3,KGG-MP01-3
MN,118.69.255.201,KGG-MP01-4,KGG-MP01-4,KGG-MP01-4
MN,118.69.255.9,KTM-MP-01-01,KTM-MP01-1,KTM-MP01-1
MN,118.69.255.10,KTM-MP-01-02,KTM-MP01-2,KTM-MP01-2
MN,118.69.255.162,LDG-MP-01-01,LDG-MP01-1,LDG-MP01-1
MN,118.69.255.163,LDG-MP-01-02,LDG-MP01-2,LDG-MP01-2
MN,118.69.185.43,LDG-MP-01-03,LDG-MP01-3,LDG-MP01-3
MN,118.69.185.44,LDG-MP-01-04,LDG-MP01-4,LDG-MP01-4
MN,118.69.185.16,LGI-MP-01-01,LGI-MP01-1,LGI-MP01-1
MN,118.69.185.17,LGI-MP-01-02,LGI-MP01-2,LGI-MP01-2
MB,118.70.0.8,LSN-MP-01-01,LSN-MP01,LSN-MP01-1
MB,118.70.0.9,LSN-MP-01-02,LSN-MP02,LSN-MP01-2
MB,118.70.0.91,NAN-MP-01-01,NAN-MP01-1,NAN-MP01-1
MB,118.70.0.92,NAN-MP-01-02,NAN-MP01-2,NAN-MP01-2
MB,118.70.0.93,NAN-MP-01-03,NAN-MP01-3,NAN-MP01-3
MB,118.70.0.94,NAN-MP-01-04,NAN-MP01-4,NAN-MP01-4
MN,118.69.255.79,NTG-MP-01-01,NTG-MP01-01,NTG-MP01-01
MN,118.69.255.80,NTG-MP-01-02,NTG-MP01-02,NTG-MP01-02
MN,118.69.185.11,NTN-MP-01-01,NTN-MP01-1,NTN-MP01-1
MN,118.69.185.12,NTN-MP-01-02,NTN-MP01-2,NTN-MP01-2
MB,118.70.0.52,PTO-MP-01-01,PTO-MP01,PTO-MP01-1
MB,118.70.0.53,PTO-MP-01-02,PTO-MP02,PTO-MP01-2
MN,118.69.255.31,PYN-MP-01-01,PYN-MP01-1,PYN-MP01-1
MN,118.69.255.32,PYN-MP-01-02,PYN-MP01-2,PYN-MP01-2
MN,118.69.185.64,QBH-MP-01-01,QBH-MP01-1,QBH-MP01-1
MN,118.69.185.65,QBH-MP-01-02,QBH-MP01-2,QBH-MP01-2
MB,118.70.0.81,QNH-MP-01-01,QNH-MP01,QNH-MP01
MB,118.70.0.82,QNH-MP-01-02,QNH-MP02,QNH-MP02
MB,118.70.0.82,QNH-MP-01-02,IXIA-test,QNH-MP02
MB,118.70.0.83,QNH-MP-01-03,QNH-MP03,QNH-MP03
MB,118.70.0.84,QNH-MP-01-04,QNH-MP04,QNH-MP04
MN,118.69.185.196,QNI-MP-01-01,QNI-MP01-1,QNI-MP01-1
MN,118.69.185.197,QNI-MP-01-02,QNI-MP01-2,QNI-MP01-2
MN,118.69.185.253,QNM-MP-01-01,QNM-MP01-1,QNM-MP01-1
MN,118.69.185.254,QNM-MP-01-02,QNM-MP01-2,QNM-MP01-2
MN,118.69.185.246,QTI-MP-01-01,QTI-MP01-1,QTI-MP01-1
MN,118.69.185.247,QTI-MP-01-02,QTI-MP01-2,QTI-MP01-2
MN,118.69.185.1,STG-MP-01-01,,
MN,118.69.185.2,STG-MP-01-02,,
MB,118.70.0.248,STY-MP-01-01,STY-MP01,STY-MP01-1
MB,118.70.0.249,STY-MP-01-02,STY-MP02,STY-MP01-2
MN,118.69.185.227,TGG-MP-01-01,TGG-MP01-1,TGG-MP01-1
MN,118.69.185.228,TGG-MP-01-02,TGG-MP01-2,TGG-MP01-2
MN,118.70.0.20,THA-MP-01-01,THA-MP01-1,THA-MP01-1
MN,118.70.0.21,THA-MP-01-02,THA-MP01-2,THA-MP01-2
MN,118.70.0.22,THA-MP-01-03,THA-MP01-3,THA-MP01-3
MN,118.70.0.23,THA-MP-01-04,THA-MP01-4,THA-MP01-4
MN,118.69.255.102,TNH-MP-01-01,TNH-MP01-1,TNH-MP01-1
MN,118.69.255.102,TNH-MP-01-01,7200-FCAM-09,TNH-MP01-1
MN,118.69.255.103,TNH-MP-01-02,TNH-MP01-2,TNH-MP01-2
MN,118.69.255.103,TNH-MP-01-02,7200-FCAM-08,TNH-MP01-2
MB,118.70.0.64,TNN-MP-01-01,TNN-MP01-NEW,TNN-MP01-1
MB,118.70.0.157,TNN-MP-01-02,TNN-MP02,TNN-MP01-2
MB,118.70.0.65,TNN-MP-01-03,TNN-MP03,TNN-MP01-3
MB,118.70.0.66,TNN-MP-01-04,TNN-MP04,TNN-MP01-4
MB,118.70.0.221,TQG-MP-01-01,TQG-MP01-1,TQG-MP01-1
MB,118.70.0.222,TQG-MP-01-02,TQG-MP01-2,TQG-MP01-2
MN,118.69.185.29,TVH-MP-01-01,TVH-MP01-1,TVH-MP01-1
MN,118.69.185.30,TVH-MP-01-02,TVH-MP01-2,TVH-MP01-2
MN,118.69.255.69,VLG-MP-01-01,VLG-MP01-1,VLG-MP01-1
MN,118.69.255.70,VLG-MP-01-02,VLG-MP01-2,VLG-MP01-2
MB,118.70.0.2,VPC-MP-01-01,VPC-MP01,VPC-MP01-1
MB,118.70.0.3,VPC-MP-01-02,VPC-MP02,VPC-MP01-2
MN,118.69.185.165,VTU-MP-01-01,VTU-MP01-1-NEW,VTU-MP01-1-NEW
MN,118.69.185.166,VTU-MP-01-02,VTU-MP01-2-NEW,VTU-MP01-2-NEW
MB,118.70.232.253,YBI-MP-01-01,YBI-BRAS01,YBI-MP01-1
MB,118.70.232.253,YBI-MP-01-01,HD-BRAS01,YBI-MP01-1
MB,118.70.0.85,YBI-MP-01-02,YBI-MP02,YBI-MP01-2
MB,118.70.0.85,YBI-MP-01-02,IXIA,YBI-MP01-2
